0,1,2,3
Runner,Finish Time,Pace/Mile,Marathon
Kelvin Kiptum (Kenya),2:00:35,4:36.0,"Chicago, 2023"
Eliud Kipchoge (Kenya),2:01:09,4:37.2,"Berlin, 2022"
Kenenisa Bekele (Ethiopia),2:01:41,4:38.5,"Berlin, 2019"
Sisay Lemma (Ethiopia),2:01:48,4:38.7,"Valencia, 2023"
Birhanu Legese (Ethiopia),2:02:48,4:41.0,"Berlin, 2019"
Mosinet Geremew (Ethiopia),2:02:55,4:41.3,"London, 2019"
Dennis Kimetto (Kenya),2:02:57,4:41.4,"Berlin, 2014"
Evans Chebet (Kenya),2:03:00,4:41.5,"Valencia, 2020"
Gabriel Geay (Tanzania),2:03:00,4:41.5,"Valencia, 2022"
Lawrence Cherono (Kenya),2:03:04,4:41.6,"Valencia, 2022"
